稿件标题,UP主名称,稿件URL,UP主粉丝量（周期内日均粉丝量）,新增播放量,新增互动量,互动率（新增互动量/新增播放量）,时间段
一句话让Coser破防,青木雄太,https://www.bilibili.com/video/BV1Qj6BB4EaY,278473,316861,7822,2.47%,2026-03-30 ~ 2026-04-12
《季指》尧叶线总集篇,陌贰柒,https://www.bilibili.com/video/BV15tyDBGETm,95739,299581,11457,3.82%,2026-03-30 ~ 2026-04-12
也是遇到比我更犟的光崽了,糯米粑的光遇日记,https://www.bilibili.com/video/BV13F9ABbEfr,47103,276583,26612,9.62%,2026-03-30 ~ 2026-04-12
我一个人要怎么操纵两个号啊！,光遇sky许愿,https://www.bilibili.com/video/BV1CdXQBnEjs,163141,222257,9948,4.48%,2026-03-30 ~ 2026-04-12
“学人精光仔”多来几个我喜欢,腿腿不串线,https://www.bilibili.com/video/BV1f8DuBnEye,102242,171982,9558,5.56%,2026-03-30 ~ 2026-04-12
锐评某对小情侣,光遇sky许愿,https://www.bilibili.com/video/BV1PjDTBpE6g,163774,164549,17338,10.54%,2026-03-30 ~ 2026-04-12
和固玩冷战后，我一个人操纵两个号！直接被识破！,光遇sky许愿,https://www.bilibili.com/video/BV1ArXCBfEcG,163257,161675,10228,6.33%,2026-03-30 ~ 2026-04-12
这不是AI！也不是真的海浪！,叶子吖OHYEZI,https://www.bilibili.com/video/BV1S8k1BmEhp,1499340,156012,5146,3.30%,2026-03-30 ~ 2026-04-12
巫师：我好想逃……却逃不掉,sky光遇阿渔,https://www.bilibili.com/video/BV1CxSUBYEjP,208943,142770,15444,10.82%,2026-03-30 ~ 2026-04-12
OK啊，又是享受巫师私人空间的一天,sky光遇阿渔,https://www.bilibili.com/video/BV1boXGB7E63,207839,133173,8691,6.53%,2026-03-30 ~ 2026-04-12
还我香香软软的小崽崽（大哭）,仓鼠小小张zzz,https://www.bilibili.com/video/BV1PWXZBqEz8,2754,118718,15530,13.08%,2026-03-30 ~ 2026-04-12
在漫展传话给下一个人,青木雄太,https://www.bilibili.com/video/BV1zvByBDERR,278473,111932,1259,1.12%,2026-03-30 ~ 2026-04-12
