指标日期,大盘主播开播人数,人均开播时长,稳定主播人均开播时长,稳定主播开播人数,稳定主播人均开播时长,大盘主播贡献看播人数,稳定主播贡献看播人数,人均看播时长,稳定主播人均看播时长,大盘主播贡献活跃玩家看播人数
2026-03-30,1639,1.98,3,700,2103.092777777778,338182,254182,6,6.05,54152
2026-03-31,1626,1.9,2.88,685,1972.5822222222223,316597,244462,6.48,6.1,52658
2026-04-01,1736,1.84,2.85,707,2014.6880555555556,355273,273254,5.86,6.04,60562
2026-04-02,1774,1.81,2.9,709,2058.45,327084,252324,5.36,5.5,55631
2026-04-03,1833,1.87,3,710,2126.8186111111113,375239,294132,5.7,5.52,67509
2026-04-04,2151,1.9,3.27,689,2252.438888888889,430367,328952,5.66,5.91,84471
2026-04-05,2237,1.95,3.42,665,2271.836111111111,472511,367490,5.64,5.63,88072
2026-04-06,2050,1.97,3.3,682,2252.433611111111,473335,371801,5.52,5.7,84988
2026-04-07,1743,1.9,3.01,684,2059.258888888889,347350,280097,6.15,6.54,56898
2026-04-08,1659,1.99,3.03,684,2070.5266666666666,340649,269054,5.55,5.88,55146
2026-04-09,1675,1.93,3.01,654,1970.4097222222222,335175,259372,5.71,6.13,52141
2026-04-10,1823,1.91,3.02,686,2071.7144444444443,344424,262987,6.03,6.54,61879
2026-04-11,2147,1.89,3.27,691,2258.1805555555557,427730,319282,6.58,7.2,85119
2026-04-12,2083,2,3.36,707,2376.4391666666666,484663,339336,5.6,6.45,91348
