指标日期,游戏投稿UV,专注作者投稿人数,大盘作者人均投稿次数,专注作者人均投稿次数,大盘作者贡献播放次数,专注作者贡献播放次数,大盘作者贡献平均播放时长,专注作者贡献平均播放时长,大盘作者贡献活跃玩家播放次数,专注作者贡献活跃玩家播放次数
2026-03-30,14897,4465,1.19,1.27,34879146,25934915,0.32,0.36,10696984,8091871
2026-03-31,14059,4435,1.19,1.26,33676855,25116437,0.3,0.34,11125853,8563877
2026-04-01,19335,5704,1.2,1.29,86872211,65086110,0.28,0.3,19883177,15415014
2026-04-02,17261,4805,1.21,1.3,125985665,87039966,0.26,0.3,22261268,16983473
2026-04-03,20582,5489,1.19,1.27,139137060,100911004,0.28,0.31,25513751,19747273
2026-04-04,31872,7399,1.22,1.3,185955971,131623727,0.27,0.3,37003516,27902407
2026-04-05,34051,7496,1.21,1.3,178266914,124583098,0.27,0.31,37028003,27781299
2026-04-06,31066,7052,1.21,1.3,150855777,103009819,0.3,0.35,31960689,23333842
2026-04-07,18127,4691,1.19,1.28,103247907,72134662,0.29,0.34,19216047,14416513
2026-04-08,17480,4542,1.18,1.3,118013796,83815923,0.27,0.31,19202718,14705855
2026-04-09,17568,4631,1.2,1.33,119211703,84002473,0.3,0.35,19609909,15243689
2026-04-10,18896,5002,1.18,1.28,129608010,89154535,0.28,0.31,21429164,16051567
2026-04-11,28804,6432,1.21,1.32,177333622,123876549,0.28,0.32,32378827,24754619
2026-04-12,31258,6978,1.21,1.34,158436896,109645813,0.28,0.31,32539064,24479655
