视频标题,视频发布日期,作者昵称,作者抖音号,是否AA专注作者,视频播放次数,活跃玩家播放次数,付费玩家播放次数,活跃玩家播放占比,付费玩家播放占比
都交给时间吧 以前觉得难吃的蔬菜 苦涩的咖啡 无聊的独处 后来某一天 都喜欢上了#光遇 #光遇sky #夜间的海浪,2026-04-04 23:25:55,Magic.,143909380,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
我总说我恨你 可到头来我恨的还不是你不够爱我,2026-04-03 09:41:18,聆芷,52703067933,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
"时长半小时！光遇竞速大电影《时代》正式上线！ #光遇 #光遇竞速大电影时代 #我在光遇看短剧 #光遇追光计划  
送给光遇竞速五周年，送给竞速赛场上的每一个人",2026-04-05 23:17:33,洛灯盏,LuoDengzhan,是,5092470,373866,0,7.34,0
以羽翼为序 以自由为终#光遇,2026-03-12 13:41:47,木词_,79412427417,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
,2026-02-26 10:30:51,微醺,1443090461,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
"我始终认为，爱上一个人就只爱一个人
如果爱上其他人那就是不爱#光遇爱情#剪映",2026-04-03 20:55:27,星九,47485697560,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
我始终认为，爱上一爱个人就只爱一个人 如果爱上其他人就是不爱#光遇爱情 #剪映,2026-04-05 22:40:33,谁许你天上星,xinyin89079,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
玩了这么久都不知道（f@sky乌青 @柏木木 ）#光遇 #光遇追光计划 #光遇花憩节 #光遇人均小太阳,2026-03-27 11:30:00,粥粥不是舟,60335030488,是,3239456,66949,0,2.07,0
你的名字加上bb是什么 yc@小六 f@SKY龙御天 #光遇躲猫猫 #光遇随心变 #游戏破壁计划 #光遇 #光遇追光计划,2026-03-13 22:50:46,肆,Gin922154.,是,3173476,79706,0,2.51,0
圣岛#光遇追光计划,2026-03-28 10:24:46,ax,87266187120,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
嗷呜是关中王来了m9( ｀д´ )!!!! #无畏契约 #valorant #卡点 #光遇 #青年创作者成长计划,2026-04-10 17:00:24,Ying.,27874691251,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
"不ber你们就只给这俩雷霆大向日葵浇水💦是吧
#光遇 #光遇花憩节 #光遇追光计划 #你干嘛哎哟",2026-04-06 23:17:41,银耳炖桃胶°,Coconut_49,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
相逢已是上上签，何须执着事事圆。#光遇合拍 #遗憾#执念,2026-04-07 03:55:53,…,22161225777X,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
反正路也要一个人走~#光遇无翼#永久无翼,2026-04-04 22:22:45,豆浆,hehedejituin,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
等等 不兑#光遇 #光遇追光计划 #光遇花憩节#光遇人均小太阳 #游戏破壁计划 f@今晚吃什么,2026-04-08 10:30:00,Sky豆鲨包,37250386736,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
以后我有全图鉴了也这样玩！#光遇 #光遇追光计划 #光遇花憩节 #光遇人均小太阳,2026-04-08 21:12:46,腿腿不串线！,277669525,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
#光遇sky,2026-04-11 22:47:02,干啥都不沈心,s1538782283,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
问号比人先到#光遇 #光遇水试炼 #光遇追光计划,2026-02-10 13:33:41,𝑺𝒌𝒚易,Yi321545066,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
#光遇#光遇追光计划,2026-03-12 22:01:00,一口小甜梨,LiiiNaii,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
时间会融化所有尖锐，只剩平静#一个人的游戏#光遇,2026-04-07 08:31:06,十一🔆,602753866,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
我们和小黑都没招了 #光遇 #光遇追光计划 #光遇花憩节#光遇人均小太阳,2026-04-06 21:43:27,糯米粑的光遇日记,20528267458,是,2242042,308436,0,13.76,0
#光遇内容过于真实 熬夜后的后遗症。你们是不是也这样。,2026-04-05 22:22:21,陌然（关必回),1505868646,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
